菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
火锅,珍滋味港式粥火锅(工体店),朝阳区,三里屯,201,五星商户,3034
火锅,释·火锅料理(旗舰总店),朝阳区,三里屯,269,五星商户,175
火锅,成都一家人火锅(三里屯店),朝阳区,三里屯,141,五星商户,3175
火锅,者火 和牛涮锅专门店,朝阳区,三里屯,358,五星商户,874
火锅,宋记汕头牛肉火锅(工体店),朝阳区,三里屯,99,五星商户,470
火锅,汗普士涮肉馆(三里屯店),朝阳区,三里屯,96,五星商户,535
火锅,| 添椒 | 潮涮三国IP火锅,朝阳区,三里屯,148,五星商户,1579
火锅,潮代鲜牛肉火锅(三里屯店),朝阳区,三里屯,129,五星商户,211
火锅,巴蜀大宅门火锅(工人体育场南路...,朝阳区,三里屯,131,五星商户,644
火锅,束河人家之小束河(世茂广场·工...,朝阳区,三里屯,31,五星商户,245
火锅,蒙之宝牛火锅全牛料理(三里屯店),朝阳区,三里屯,104,五星商户,410
火锅,山市,朝阳区,三里屯,83,准五星商户,433
火锅,小红袍香港私房火锅料理(三里屯...,朝阳区,三里屯,342,准五星商户,999
火锅,三公潮汕鲜牛肉火锅,朝阳区,三里屯,113,准五星商户,549
火锅,棒棒堂私家火锅,朝阳区,三里屯,147,准五星商户,108
火锅,滇草香云南原生态汤火锅(三里屯...,朝阳区,三里屯,137,准五星商户,1084
火锅,湊湊 火锅·茶憩(三里屯店),朝阳区,三里屯,135,准五星商户,3082
火锅,辣府(三里屯店),朝阳区,三里屯,157,准五星商户,4662
火锅,三只耳河鲜馆(保利店),朝阳区,三里屯,119,准五星商户,7278
火锅,宽板凳老灶火锅(三里屯店),朝阳区,三里屯,122,准五星商户,1087
火锅,麻辣男女火锅(中国红街店),朝阳区,三里屯,112,准五星商户,198
火锅,小哥串串香(三里屯店),朝阳区,三里屯,68,准五星商户,1577
火锅,董家湾重庆老火锅(工体东门店),朝阳区,三里屯,121,准五星商户,1145
火锅,望龙门重庆老火锅,朝阳区,三里屯,144,准五星商户,1021
火锅,奇葩 不只是麻辣烫,朝阳区,三里屯,74,准五星商户,901
火锅,辣三里串串香,朝阳区,三里屯,86,准五星商户,138
火锅,金簋小山城(春秀路店),朝阳区,三里屯,101,准五星商户,2023
火锅,老饕饕客火锅(三里屯店),朝阳区,三里屯,93,准五星商户,38
火锅,新辣道鱼火锅(世茂广场·工三店),朝阳区,三里屯,100,准五星商户,1105
火锅,大品牛咖,朝阳区,三里屯,79,准五星商户,481
火锅,醉麻辣(中国红街店),朝阳区,三里屯,91,准五星商户,1963
火锅,和牛家鲜切牛肉火锅(工体店),朝阳区,三里屯,195,准五星商户,277
火锅,康二姐串串香(三里屯总店),朝阳区,三里屯,71,准五星商户,2018
火锅,神坛粤味溜达鸡火锅,朝阳区,三里屯,119,四星商户,297
火锅,小金鲜族饭馆(小金朝族饭馆),朝阳区,三里屯,41,四星商户,257
火锅,祺记钵钵鸡(中国红街店),朝阳区,三里屯,67,四星商户,131
火锅,热辣壹号(屯三里店),朝阳区,三里屯,124,四星商户,4262
火锅,什麽串串香,朝阳区,三里屯,77,四星商户,722
火锅,蜀北漂火锅.烤鱼(工体店),朝阳区,三里屯,93,四星商户,623
火锅,有福友味,朝阳区,三里屯,146,四星商户,180
火锅,牧人兄弟阳坊涮肉,朝阳区,三里屯,81,四星商户,57
火锅,虾吃虾涮虾火锅(三里屯至尊店),朝阳区,三里屯,96,四星商户,987
火锅,呷哺呷哺(世贸.工三店),朝阳区,三里屯,44,四星商户,372
火锅,味蜀吾老火锅(高和萃东三环北路...,朝阳区,三里屯,114,四星商户,336
火锅,京城有黔人(贵州粉面馆),朝阳区,三里屯,55,四星商户,1112
火锅,福香粤港式火锅城,朝阳区,三里屯,100,四星商户,194
火锅,水佬荣澳门蟹煲(中国红街店),朝阳区,三里屯,287,四星商户,187
火锅,地主家串串香火锅(通盈中心店),朝阳区,三里屯,105,准四星商户,390
火锅,德福居,朝阳区,三里屯,54,准四星商户,14
火锅,HOLA WAY火锅料理,朝阳区,三里屯,146,准四星商户,81
火锅,牛牛火锅,朝阳区,三里屯,93,准四星商户,43
火锅,朝天码头,朝阳区,三里屯,72,准四星商户,105
火锅,淘虾记小火锅(三里屯店),朝阳区,三里屯,90,准四星商户,4
火锅,船说,朝阳区,三里屯,157,准四星商户,109
火锅,姻缘签老成都串串香,朝阳区,三里屯,94,三星商户,27
火锅,川古道(东直门银座mall店),朝阳区,三里屯,28,三星商户,287
火锅,耕牛堂（訸記）潮汕鲜牛肉火锅(...,朝阳区,望京,106,五星商户,108
火锅,八月畔酸汤火锅(望京店),朝阳区,望京,130,五星商户,171
火锅,银滩金汤酒楼(望馨店),朝阳区,望京,190,五星商户,1193
火锅,阿荣小镇火锅(望京国际商业中心...,朝阳区,望京,99,五星商户,1044
火锅,湊湊.火锅.茶憩(望京西路店),朝阳区,望京,131,五星商户,401
火锅,海底捞火锅(望京国际商业中心店),朝阳区,望京,110,五星商户,4442
火锅,首尔798·POCHA,朝阳区,望京,87,五星商户,265
火锅,御鸭神 干锅▪火锅(望京国际商业...,朝阳区,望京,71,五星商户,106
火锅,海底捞火锅(望京港旅店),朝阳区,望京,119,五星商户,1178
火锅,花园老北京铜锅涮肉,朝阳区,望京,98,五星商户,313
火锅,四品府涮肉(望京路店),朝阳区,望京,86,五星商户,458
火锅,四季传锅,朝阳区,望京,84,五星商户,185
火锅,云煲天下肉蟹煲,朝阳区,望京,78,五星商户,411
火锅,左麻右辣鲜牛肉火锅(望京店),朝阳区,望京,87,五星商户,674
火锅,湘明园潮州牛肉丸,朝阳区,望京,98,五星商户,366
火锅,纯然火锅-海鲜烤坊(望京总店),朝阳区,望京,94,五星商户,818
火锅,牛街聚宝源涮肉(望京店),朝阳区,望京,103,准五星商户,5403
火锅,川越,朝阳区,望京,81,准五星商户,707
火锅,串串龙火锅店,朝阳区,望京,56,准五星商户,112
火锅,谷雨(望馨商业中心店),朝阳区,望京,91,准五星商户,213
火锅,旬野菜-­­­新派日式火锅(望京港...,朝阳区,望京,113,准五星商户,809
火锅,和记潮汕牛肉火锅(总店),朝阳区,望京,108,准五星商户,512
火锅,HI辣火锅(望京店),朝阳区,望京,129,准五星商户,7118
火锅,表哥羊鸡火锅,朝阳区,望京,186,准五星商户,441
火锅,黄门老灶火锅(望京店),朝阳区,望京,107,准五星商户,124
火锅,卢卡上上签,朝阳区,望京,84,准五星商户,1141
火锅,东来顺饭庄(望京华彩商业中心店),朝阳区,望京,97,准五星商户,2733
火锅,青瓷川粤火锅,朝阳区,望京,120,准五星商户,181
火锅,香草香草云南原生态火锅(望京店),朝阳区,望京,129,准五星商户,2146
火锅,宽板凳老灶火锅(望京花家地店),朝阳区,望京,97,准五星商户,512
火锅,米街火锅(宜家店),朝阳区,望京,107,准五星商户,1072
火锅,林聪梁山鸡,朝阳区,望京,73,准五星商户,270
火锅,首尔798韩国料理地区(新荟城购物...,朝阳区,望京,87,准五星商户,1618
火锅,老门头火锅,朝阳区,望京,93,准五星商户,155
火锅,井格老灶火锅(望京新世界店),朝阳区,望京,119,准五星商户,1526
火锅,菁喜老火锅,朝阳区,望京,110,准五星商户,1249
火锅,傅婆婆串串香,朝阳区,望京,97,准五星商户,135
火锅,山城辣妹子重庆火锅(望京花园店),朝阳区,望京,105,准五星商户,1260
火锅,喇喇排骨火锅(望京西园店),朝阳区,望京,76,准五星商户,986
火锅,老诚一锅(望花路店),朝阳区,望京,91,准五星商户,452
火锅,和庆斋秘制羊蝎子阳坊涮肉(望京...,朝阳区,望京,96,准五星商户,783
火锅,喇喇排骨火锅(海鲜大卖场店),朝阳区,望京,76,准五星商户,1420
火锅,杨家火锅(望京店),朝阳区,望京,133,准五星商户,2467
火锅,重庆李记火锅串串香(悠乐汇店),朝阳区,望京,58,准五星商户,89
火锅,重来记忆老灶火锅(望京国际商业...,朝阳区,望京,112,准五星商户,1410
火锅,08涮肉坊(广顺南大街店),朝阳区,望京,107,准五星商户,512
火锅,珍菇源野生菌火锅(望京店),朝阳区,望京,127,准五星商户,453
火锅,箩箩贵州酸汤鱼(望京店),朝阳区,望京,87,四星商户,1314
火锅,康二姐串串香(望京店),朝阳区,望京,52,四星商户,35
火锅,四川简阳羊肉汤火锅(望京店),朝阳区,望京,75,四星商户,1094
火锅,火宴山自助火锅(方恒购物中心店),朝阳区,望京,73,四星商户,13512
火锅,表哥羊鸡火锅(望京店),朝阳区,望京,130,四星商户,29
火锅,束河人家之小束河(望京店),朝阳区,望京,36,四星商户,73
火锅,富女队长重庆火锅(望京店),朝阳区,望京,120,四星商户,1801
火锅,福翁家韩式八色烤肉&海鲜火锅,朝阳区,望京,78,四星商户,480
火锅,小串怡情(望京店),朝阳区,望京,61,四星商户,100
火锅,四季恋•湘粤菜&鲜牛火锅(三元桥...,朝阳区,望京,113,四星商户,405
火锅,常赢三兄弟(望京店),朝阳区,望京,99,四星商户,514
火锅,求签儿冷锅串串(望京CBD店),朝阳区,望京,51,四星商户,25
火锅,呷哺呷哺(四元桥家乐福店),朝阳区,望京,51,四星商户,133
火锅,呷哺呷哺(来广营欧尚店),朝阳区,望京,49,四星商户,171
火锅,九宫诀老火锅名小吃(博泰国际南...,朝阳区,望京,112,四星商户,901
火锅,食潮汕头鲜牛馆,朝阳区,望京,104,四星商户,66
火锅,黄记煌三汁焖锅(望京华彩商业中...,朝阳区,望京,95,四星商户,1220
火锅,香丰阁(望京店),朝阳区,望京,84,四星商户,430
火锅,老诚一锅(望京店),朝阳区,望京,87,四星商户,214
火锅,虾吃虾涮(望馨商业中心店),朝阳区,望京,74,四星商户,147
火锅,唇辣号重庆老火锅(旺角购物湖光...,朝阳区,望京,118,四星商户,106
火锅,火烤山,朝阳区,望京,71,四星商户,224
火锅,脸谱港式火锅(酒仙桥丽都店),朝阳区,望京,263,四星商户,77
火锅,汗普士涮肉馆(望京店),朝阳区,望京,87,四星商户,127
火锅,宜度船音乐餐吧,朝阳区,望京,131,四星商户,388
火锅,辣莊重庆老火锅(望京店),朝阳区,望京,119,四星商户,779
火锅,呷哺呷哺(新世界望京店),朝阳区,望京,49,四星商户,270
火锅,城一锅,朝阳区,望京,83,四星商户,92
火锅,小板凳老灶火锅(六佰本广顺北大...,朝阳区,望京,91,四星商户,294
火锅,明洞刀切面▪火锅▪包肉(总店),朝阳区,望京,56,准四星商户,302
火锅,美顺园鱼头村,朝阳区,望京,105,准四星商户,131
火锅,湖北陈婆道观鸡·望京鸡火锅,朝阳区,望京,61,准四星商户,420
火锅,鹤一德吉涮肉,朝阳区,望京,93,准四星商户,12
火锅,捞福,朝阳区,望京,95,准四星商户,75
火锅,鲜牛记潮汕牛肉火锅(望京店),朝阳区,望京,103,准四星商户,507
火锅,老门框爆肚(望京店),朝阳区,望京,78,准四星商户,49
火锅,呷哺呷哺(望京新一城店),朝阳区,望京,53,准四星商户,197
火锅,甲壹号老北京铜锅涮肉,朝阳区,望京,91,准四星商户,18
火锅,滋味堂,朝阳区,望京,87,准四星商户,19
火锅,呷浦呷浦(凯德茂店),朝阳区,望京,60,准四星商户,23
火锅,呷哺呷哺(望京新荟城店),朝阳区,望京,57,准四星商户,29
火锅,百叶居(民族园店),朝阳区,望京,98,准四星商户,151
火锅,食侠客黄焖鸡米饭(中医药大学店),朝阳区,望京,19,准四星商户,6
火锅,呷哺呷哺(望京国际店),朝阳区,望京,49,准四星商户,542
火锅,甲锅乙锅小吃(新世界百货望京店),朝阳区,望京,41,准四星商户,402
火锅,福禄林涮肉坊,朝阳区,望京,78,准四星商户,144
火锅,淘虾记小火锅外卖中心(望京店),朝阳区,望京,90,准四星商户,6
火锅,呷哺呷哺(望京嘉茂店),朝阳区,望京,41,准四星商户,535
火锅,味乐海鲜火锅,朝阳区,望京,88,准四星商户,9
火锅,蜀乾串串香,朝阳区,望京,65,准四星商户,156
火锅,呷哺呷哺(望京华彩店),朝阳区,望京,52,三星商户,189
火锅,呷哺呷哺(望京梦秀城店),朝阳区,望京,57,三星商户,52
火锅,汇捞回转小火锅,朝阳区,望京,40,三星商户,2
火锅,丁丁洋回转自助火锅(望京华彩店...,朝阳区,望京,37,三星商户,828
火锅,Aza Aza！芝心年糕料理(凯德MALL...,朝阳区,望京,68,三星商户,54
火锅,呷浦呷浦,朝阳区,望京,57,三星商户,3
火锅,万方豆捞(望京店),朝阳区,望京,67,该商户暂无星级,10
火锅,文靓潮汕全牛火锅,朝阳区,望京,70,该商户暂无星级,1
火锅,众宜轩老北京铜锅涮肉(传媒大学...,朝阳区,国贸,131,五星商户,150
火锅,伊豆野菜村(金地中心店),朝阳区,国贸,146,五星商户,5093
火锅,林记顺合潮汕牛肉火锅(旺座店),朝阳区,国贸,114,五星商户,606
火锅,好合兴潮汕牛肉火锅(铭泽生活广...,朝阳区,国贸,99,五星商户,226
火锅,鲜辣斗麻辣火锅,朝阳区,国贸,102,五星商户,261
火锅,椒馨串串香,朝阳区,国贸,56,准五星商户,63
火锅,东来顺饭庄(呼家楼店),朝阳区,国贸,121,准五星商户,1859
火锅,重庆神鲜火锅(呼家楼北街店),朝阳区,国贸,117,准五星商户,2434
火锅,东来顺(朝阳双井店),朝阳区,国贸,100,准五星商户,7596
火锅,林记顺合潮汕牛肉火锅(数码01大...,朝阳区,国贸,126,准五星商户,492
火锅,山城辣妹子重庆火锅(建外SOHO店),朝阳区,国贸,84,四星商户,819
火锅,老诚一锅(团结湖店),朝阳区,国贸,87,四星商户,1853
火锅,海岛印象椰子鸡火锅(财富购物中...,朝阳区,国贸,96,四星商户,463
火锅,牙尖侠钵钵鸡,朝阳区,国贸,77,四星商户,225
火锅,赛道HI餐(国贸店),朝阳区,国贸,114,四星商户,64
火锅,汇通四海食府,朝阳区,国贸,328,四星商户,111
火锅,尚捞港式回转小火锅(国贸店),朝阳区,国贸,54,四星商户,683
火锅,望湘楼(川湘野味道),朝阳区,国贸,69,四星商户,1763
火锅,星米休闲餐厅(金地广场店),朝阳区,国贸,66,四星商户,2581
火锅,呷哺呷哺(建外SOHO店),朝阳区,国贸,50,四星商户,701
火锅,辉哥火锅(远洋国际店),朝阳区,国贸,665,四星商户,369
火锅,呷哺呷哺(北京SKP店),朝阳区,国贸,46,准四星商户,882
火锅,重庆两江火锅(大望路店),朝阳区,国贸,130,准四星商户,463
火锅,呷哺呷哺(建国门贵友店),朝阳区,国贸,45,准四星商户,232
火锅,德福居,朝阳区,国贸,54,准四星商户,14
火锅,韩米阳光韩式火锅(国贸一店),朝阳区,国贸,26,准四星商户,12
火锅,红白香火锅,朝阳区,国贸,43,准四星商户,15
火锅,美逸商务酒店餐厅,朝阳区,国贸,227,三星商户,81
火锅,呷哺呷哺(万达新世界店),朝阳区,国贸,56,该商户暂无星级,238
火锅,捞王锅物料理(丰联店),朝阳区,朝外大街,135,五星商户,1737
火锅,日坛涮肉,朝阳区,朝外大街,132,五星商户,2377
火锅,花味·火锅·夜宵,朝阳区,朝外大街,171,五星商户,207
火锅,小西街八十号,朝阳区,朝外大街,131,五星商户,1962
火锅,潮汕阿五牛肉店(百脑汇旗舰店),朝阳区,朝外大街,117,五星商户,378
火锅,粤悦香港式海鲜肥牛火锅(朝外大...,朝阳区,朝外大街,95,五星商户,357
火锅,誉满楼姿造火锅,朝阳区,朝外大街,150,五星商户,346
火锅,耕牛堂（訸記）潮汕鲜牛肉火锅(...,朝阳区,朝外大街,123,五星商户,451
火锅,赤火锅 Red Bowl,朝阳区,朝外大街,430,五星商户,406
火锅,原牛道牛肉火锅(世界城店),朝阳区,朝外大街,105,准五星商户,361
火锅,唇辣号重庆老火锅(朝外大街旗舰...,朝阳区,朝外大街,113,准五星商户,813
火锅,桐记小灶儿牛板筋火锅(悠唐购物...,朝阳区,朝外大街,106,准五星商户,1716
火锅,艎海传奇海鲜自助火锅(丰联广场...,朝阳区,朝外大街,234,准五星商户,2835
火锅,卧底火锅(工体店),朝阳区,朝外大街,91,准五星商户,1252
火锅,怡园四季椰子鸡火锅,朝阳区,朝外大街,120,准五星商户,800
火锅,川火锅,朝阳区,朝外大街,106,准五星商户,2811
火锅,九阁私房牛杂火锅(朝阳门店),朝阳区,朝外大街,99,准五星商户,567
火锅,香草香草云南原生态火锅(东大桥...,朝阳区,朝外大街,110,准五星商户,6872
火锅,井格老灶火锅(悠唐店),朝阳区,朝外大街,119,准五星商户,5346
火锅,盆景重庆老火锅,朝阳区,朝外大街,107,准五星商户,1322
火锅,小辉哥火锅(侨福芳草地购物中心...,朝阳区,朝外大街,133,准五星商户,2993
火锅,东来顺(日坛店),朝阳区,朝外大街,137,准五星商户,903
火锅,柒爷串天下串串香火锅,朝阳区,朝外大街,75,四星商户,444
火锅,昆泰嘉华酒店嘉华咖啡厅,朝阳区,朝外大街,127,四星商户,170
火锅,珍猪肚鸡广东靓汤煲(昆泰国际店),朝阳区,朝外大街,102,四星商户,398
火锅,老诚一锅(东大桥店),朝阳区,朝外大街,76,四星商户,962
火锅,大成德涮肉,朝阳区,朝外大街,83,四星商户,47
火锅,淘汰郎小火锅(北京店),朝阳区,朝外大街,79,四星商户,136
火锅,福香粤港式火锅城,朝阳区,朝外大街,100,四星商户,194
火锅,富祺缘,朝阳区,朝外大街,58,四星商户,102
火锅,入味肉蟹煲,朝阳区,朝外大街,69,四星商户,301
火锅,呷哺呷哺(悠唐店),朝阳区,朝外大街,54,四星商户,788
火锅,珍猪肚鸡广东靓汤煲(SOHO尚都店),朝阳区,朝外大街,94,四星商户,664
火锅,呷哺呷哺(日坛国际店),朝阳区,朝外大街,47,四星商户,129
火锅,杨家秘笈重庆火锅,朝阳区,朝外大街,98,准四星商户,1181
火锅,镜湖国际酒店自助餐,朝阳区,朝外大街,449,准四星商户,67
火锅,呷哺呷哺(朝外昆泰店),朝阳区,朝外大街,55,准四星商户,430
火锅,呷哺呷哺(华普超市店),朝阳区,朝外大街,36,准四星商户,474
火锅,呷哺呷哺(东大桥蓝岛大厦店),朝阳区,朝外大街,50,准四星商户,158
火锅,呷哺呷哺(朝外神路街店),朝阳区,朝外大街,38,准四星商户,309
火锅,鼻祖老火锅(日坛店),朝阳区,朝外大街,112,准四星商户,174
火锅,红双喜串串香,朝阳区,朝外大街,81,准四星商户,77
火锅,呷浦呷浦(世贸天阶店),朝阳区,朝外大街,52,准四星商户,24
火锅,蒸汽火锅,朝阳区,朝外大街,94,准四星商户,7
火锅,呷浦呷浦,朝阳区,朝外大街,59,准四星商户,6
火锅,彤德莱火锅,朝阳区,朝外大街,59,三星商户,2
火锅,王牌大虾,朝阳区,朝外大街,71,三星商户,3
火锅,叫座儿鲜煲火锅(亚运村店),朝阳区,亚运村,91,五星商户,1289
火锅,海底捞火锅(大屯北路店),朝阳区,亚运村,111,五星商户,2190
火锅,渡娘火锅(健翔桥店),朝阳区,亚运村,100,五星商户,1522
火锅,初色海鲜姿造自助火锅(时代名门...,朝阳区,亚运村,278,五星商户,1994
火锅,萌心火辣串串香(亚运村店),朝阳区,亚运村,87,五星商户,562
火锅,非辣道川味火锅(北苑店),朝阳区,亚运村,98,五星商户,80
火锅,阿田大虾(北苑路店),朝阳区,亚运村,77,五星商户,576
火锅,海边蟹逅肉蟹煲,朝阳区,亚运村,60,五星商户,161
火锅,喜虾客(亚运村店),朝阳区,亚运村,68,五星商户,1662
火锅,北华涮肉(华严北里店),朝阳区,亚运村,74,五星商户,1231
火锅,串串龙火锅店,朝阳区,亚运村,56,准五星商户,112
火锅,宋记汕头牛肉火锅(健德门店),朝阳区,亚运村,100,准五星商户,1153
火锅,太婆天府山珍酒楼(亚运村店),朝阳区,亚运村,106,准五星商户,785
火锅,鲜牛记潮汕牛肉火锅(亚运村店),朝阳区,亚运村,116,准五星商户,1588
火锅,黄门老灶火锅(亚运村四店),朝阳区,亚运村,123,准五星商户,630
火锅,鼎牛一锅鲜牛肉火锅,朝阳区,亚运村,99,准五星商户,609
火锅,北城老四季涮肉(一分店),朝阳区,亚运村,82,准五星商户,781
火锅,王家渡火锅店(奥运村店),朝阳区,亚运村,147,准五星商户,3191
火锅,老码头火锅(金泉广场店),朝阳区,亚运村,108,准五星商户,1481
火锅,一米阳光火锅餐厅,朝阳区,亚运村,92,准五星商户,716
火锅,朱题·猪手火锅(安苑北里店),朝阳区,亚运村,88,准五星商户,2595
火锅,南门四季涮肉(亚运村店),朝阳区,亚运村,105,准五星商户,396
火锅,万水千山香港火锅,朝阳区,亚运村,185,准五星商户,441
火锅,塞外小毛驴(塞外羊蝎子馆),朝阳区,亚运村,73,准五星商户,527
火锅,重庆逗牛场老火锅,朝阳区,亚运村,116,准五星商户,1949
火锅,色牛火锅·全牛宴鲜火锅(健德门...,朝阳区,亚运村,85,准五星商户,179
火锅,八先生涮肉房(北苑店),朝阳区,亚运村,149,准五星商户,554
火锅,金簋小山城(亚运村店),朝阳区,亚运村,101,准五星商户,1497
火锅,捞捞福火锅,朝阳区,亚运村,278,准五星商户,462
火锅,呷哺呷哺(远洋未来广场店),朝阳区,亚运村,45,准五星商户,507
火锅,新辣道鱼火锅(胜利店),朝阳区,亚运村,88,准五星商户,2344
火锅,虾吃虾涮(小营店),朝阳区,亚运村,66,准五星商户,73
火锅,坚石餐厅(北辰店),朝阳区,亚运村,82,准五星商户,32
火锅,老冯烤羊蝎子馆(北土城店),朝阳区,亚运村,86,四星商户,5554
火锅,井格老灶火锅(亚运村店),朝阳区,亚运村,116,四星商户,2137
火锅,东来顺饭庄(金泉广场店),朝阳区,亚运村,124,四星商户,807
火锅,牛倌记潮汕牛肉火锅,朝阳区,亚运村,98,四星商户,291
火锅,鱼还是鱼火锅,朝阳区,亚运村,66,四星商户,94
火锅,尚台楼,朝阳区,亚运村,107,四星商户,607
火锅,老城一锅(安翔里旗舰店),朝阳区,亚运村,78,四星商户,171
火锅,喔喔火锅外送(回龙观店),朝阳区,亚运村,44,四星商户,19
火锅,热辣壹号(时代名门商场店),朝阳区,亚运村,117,四星商户,986
火锅,虾吃虾涮(安立路店),朝阳区,亚运村,86,四星商户,112
火锅,呷哺呷哺(北辰时代广场店),朝阳区,亚运村,42,四星商户,586
火锅,莆合记潮汕牛肉火锅,朝阳区,亚运村,98,四星商户,215
火锅,骑家火锅(鸟巢店),朝阳区,亚运村,145,四星商户,106
火锅,宽板凳老灶火锅(安慧里店),朝阳区,亚运村,105,准四星商户,707
火锅,上鱼舫(亚运村旗舰店),朝阳区,亚运村,78,准四星商户,26
火锅,锡林高勒,朝阳区,亚运村,90,准四星商户,615
火锅,馋胖肉蟹煲,朝阳区,亚运村,64,准四星商户,99
火锅,呷哺呷哺(新奥购物中心店),朝阳区,亚运村,51,准四星商户,357
火锅,老北京铜锅涮肉,朝阳区,亚运村,47,准四星商户,7
火锅,小初色椰子鸡火锅(未来广场店),朝阳区,亚运村,97,准四星商户,145
火锅,过锅瘾三汁焖锅(新奥购物中心店),朝阳区,亚运村,86,准四星商户,2238
火锅,箩箩贵州酸汤鱼(金泉广场店),朝阳区,亚运村,98,准四星商户,1217
火锅,八先生涮肉房(亚运村店),朝阳区,亚运村,119,准四星商户,584
火锅,神洲四海鸟巢国际海鲜餐厅,朝阳区,亚运村,498,准四星商户,47
火锅,黄玉石港式火锅,朝阳区,亚运村,345,准四星商户,103
火锅,百叶居(民族园店),朝阳区,亚运村,98,准四星商户,151
火锅,小羊倌旋转自助火锅(K酷时尚广场...,朝阳区,亚运村,45,准四星商户,278
火锅,呷哺呷哺(北苑生活馆店),朝阳区,亚运村,52,准四星商户,311
火锅,呷哺呷哺(亚运村北辰店),朝阳区,亚运村,59,准四星商户,119
火锅,北京格兰云天酒店爱丽舍西餐厅(...,朝阳区,亚运村,155,准四星商户,30
火锅,关东火锅,朝阳区,亚运村,67,准四星商户,22
火锅,葛尔丹海鲜烤肉火锅自助餐厅(亚...,朝阳区,亚运村,61,准四星商户,1535
火锅,四味方舟火锅川湘家常菜,朝阳区,亚运村,72,准四星商户,212
火锅,麻拿煮艺(K酷时尚广场店),朝阳区,亚运村,23,准四星商户,34
火锅,呷哺呷哺(北苑路北辰店),朝阳区,亚运村,38,该商户暂无星级,64
火锅,比邻小厨私房海鲜,朝阳区,亮马桥/三元桥,146,五星商户,591
火锅,官也街澳门火锅(新源街店),朝阳区,亮马桥/三元桥,381,五星商户,1034
火锅,羊大爷涮肉坊(亮马桥店),朝阳区,亮马桥/三元桥,122,五星商户,1976
火锅,葱葱那年校园主题串串香火锅(霄...,朝阳区,亮马桥/三元桥,99,五星商户,399
火锅,青瓷川粤火锅,朝阳区,亮马桥/三元桥,120,准五星商户,181
火锅,斗川火锅(三元桥店),朝阳区,亮马桥/三元桥,119,准五星商户,288
火锅,邻家院子重庆火锅,朝阳区,亮马桥/三元桥,139,准五星商户,2062
火锅,吾坐煮港式火锅(三元桥店),朝阳区,亮马桥/三元桥,96,准五星商户,534
火锅,棒棒老灶火锅,朝阳区,亮马桥/三元桥,99,准五星商户,773
火锅,香草香草云南原生态火锅(霄云路...,朝阳区,亮马桥/三元桥,116,准五星商户,1889
火锅,望龙门重庆老火锅,朝阳区,亮马桥/三元桥,144,准五星商户,1021
火锅,蔚真家石板烧肉&融合菜,朝阳区,亮马桥/三元桥,77,准五星商户,2017
火锅,老诚一锅(三元东桥店),朝阳区,亮马桥/三元桥,76,准五星商户,721
火锅,杨家火锅(时尚佳亿店),朝阳区,亮马桥/三元桥,131,准五星商户,1322
火锅,东来顺饭庄(新源西里店),朝阳区,亮马桥/三元桥,121,准五星商户,931
火锅,黄门轩牛肉汤锅,朝阳区,亮马桥/三元桥,137,准五星商户,107
火锅,新亭会麻辣主题餐厅(三元桥店),朝阳区,亮马桥/三元桥,47,准五星商户,93
火锅,大得涮肉(三元桥总店),朝阳区,亮马桥/三元桥,114,准五星商户,2459
火锅,箩箩贵州酸汤鱼(朝阳公园店),朝阳区,亮马桥/三元桥,109,四星商户,1640
火锅,辛火UFO芝士排骨&即席年糕火锅(...,朝阳区,亮马桥/三元桥,55,四星商户,1261
火锅,定海神针冷锅串(左家庄店),朝阳区,亮马桥/三元桥,91,四星商户,304
火锅,汕头老字号福合埕潮汕牛肉火锅,朝阳区,亮马桥/三元桥,141,四星商户,792
火锅,隆顺斋四季涮肉(三元西桥店),朝阳区,亮马桥/三元桥,83,四星商户,408
火锅,常赢三兄弟(三元桥店),朝阳区,亮马桥/三元桥,105,四星商户,861
火锅,四季恋•湘粤菜&鲜牛火锅(三元桥...,朝阳区,亮马桥/三元桥,113,四星商户,405
火锅,衡山小馆粤式火锅(霄云路店),朝阳区,亮马桥/三元桥,94,四星商户,700
火锅,渝隆码头·重庆原味老火锅(燕莎...,朝阳区,亮马桥/三元桥,50,四星商户,500
火锅,御青园老北京铜锅涮肉/烧烤季,朝阳区,亮马桥/三元桥,77,四星商户,56
火锅,口福居火锅(霄云路店),朝阳区,亮马桥/三元桥,99,四星商户,1823
火锅,潮好味·潮牛(霄云路店),朝阳区,亮马桥/三元桥,76,四星商户,260
火锅,四品府涮肉(西坝河店),朝阳区,亮马桥/三元桥,77,四星商户,379
火锅,兴记潮牛潮汕牛肉火锅(好运街店),朝阳区,亮马桥/三元桥,125,四星商户,1812
火锅,蜜壳椰子鸡音乐主题餐厅(霄云路...,朝阳区,亮马桥/三元桥,122,四星商户,492
火锅,一网不捞鱼,朝阳区,亮马桥/三元桥,36,四星商户,125
火锅,宜度船音乐餐吧,朝阳区,亮马桥/三元桥,131,四星商户,388
火锅,新辣道鱼火锅(凯德MALL太阳宫店),朝阳区,亮马桥/三元桥,107,四星商户,2378
火锅,醉三锅羊蝎子石锅鱼,朝阳区,亮马桥/三元桥,58,四星商户,54
火锅,嗨番茄·番茄酸汤鱼(亮马桥店),朝阳区,亮马桥/三元桥,30,准四星商户,33
