菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
小吃快餐,椒焱涮串啤酒餐厅(桂林路店),朝阳区,桂林路,48,准五星商户,150
小吃快餐,椒焱涮串啤酒餐厅(高新店),朝阳区,朝阳区,50,准五星商户,251
小吃快餐,一莲一品小笼包(欧亚卖场店),朝阳区,欧亚卖场,28,准五星商户,401
小吃快餐,汉堡王(长春欧亚商都店),朝阳区,红旗街,38,准五星商户,374
小吃快餐,江南饭屋,朝阳区,桂林路,48,准五星商户,191
小吃快餐,老秦人面馆,朝阳区,欧亚卖场,26,四星商户,466
小吃快餐,老昌春饼(东民主路总店),朝阳区,永昌,41,四星商户,894
小吃快餐,线人鸳鸯米线,朝阳区,红旗街,28,四星商户,39
小吃快餐,熊猫生煎(欧亚卖场店),朝阳区,欧亚卖场,23,四星商户,1231
小吃快餐,觅思特鸡排(桂林路店),朝阳区,桂林路,48,四星商户,507
小吃快餐,星济七道面(红旗街店),朝阳区,红旗街,15,四星商户,18
小吃快餐,老昌春饼(隆礼路店),朝阳区,红旗街,34,四星商户,672
小吃快餐,福成泥锅麻辣串(红旗街店),朝阳区,红旗街,59,四星商户,82
小吃快餐,小蜜蜂面饭馆(欧亚卖场店),朝阳区,欧亚卖场,26,四星商户,504
小吃快餐,老韩头清真食品(欧亚商都店),朝阳区,红旗街,6,四星商户,386
小吃快餐,东方饺子王(工农大路南湖店),朝阳区,南湖公园,40,四星商户,1062
小吃快餐,吉野家(欧亚卖场店),朝阳区,欧亚卖场,30,四星商户,134
小吃快餐,宋记粥铺(西康路店),朝阳区,桂林路,23,四星商户,161
小吃快餐,老昌春饼(前进大街分店),朝阳区,南湖公园,53,四星商户,630
小吃快餐,桥头排骨,朝阳区,桂林路,13,四星商户,447
小吃快餐,多奴利烤大肠,朝阳区,桂林路,52,四星商户,172
小吃快餐,李先生牛肉面(红旗街),朝阳区,红旗街,24,四星商户,782
小吃快餐,赛百味(红旗街店),朝阳区,红旗街,24,四星商户,1292
小吃快餐,老昌春饼(欧亚商都店),朝阳区,红旗街,50,四星商户,986
小吃快餐,妯娌老鸭粉丝汤,朝阳区,朝阳区,14,四星商户,107
小吃快餐,老昌食品(桂林路分店),朝阳区,桂林路,24,四星商户,411
小吃快餐,华莱士(红旗街店),朝阳区,红旗街,19,四星商户,30
小吃快餐,友达面馆,朝阳区,朝阳区,32,四星商户,20
小吃快餐,汉堡王(长春欧亚卖场店),朝阳区,欧亚卖场,36,四星商户,304
小吃快餐,东方饺子王(万达红旗街店),朝阳区,红旗街,36,四星商户,523
小吃快餐,小蜜蜂面饭馆(西康路店),朝阳区,桂林路,20,四星商户,273
小吃快餐,宝春小吃部,朝阳区,永昌,40,四星商户,52
小吃快餐,姐弟俩土豆粉(红旗街店),朝阳区,红旗街,11,四星商户,97
小吃快餐,麻辣哈哈(二店),朝阳区,桂林路,19,四星商户,367
小吃快餐,遇见重庆小面,朝阳区,朝阳区,25,四星商户,21
小吃快餐,星济七道面(南昌路店),朝阳区,建设街,20,四星商户,10
小吃快餐,思密哒韩食快捷工坊,朝阳区,桂林路,31,四星商户,347
小吃快餐,李先生牛肉面(富豪餐厅),朝阳区,红旗街,23,四星商户,333
小吃快餐,辣怪鸭(崇智路店),朝阳区,朝阳区,18,四星商户,151
小吃快餐,牛人牛味,朝阳区,红旗街,16,四星商户,82
小吃快餐,面小姐,朝阳区,红旗街,22,四星商户,31
小吃快餐,麦当劳(红旗街万达店),朝阳区,朝阳区,25,四星商户,22
小吃快餐,鹤记生煎(重庆路万达店),朝阳区,重庆路/人民广场,20,四星商户,843
小吃快餐,品泰丰重庆小面,朝阳区,朝阳区,20,四星商户,94
小吃快餐,大自然海鲜烤肉,朝阳区,桂林路,57,四星商户,229
小吃快餐,呷霸古早味·鲁肉饭,朝阳区,桂林路,24,四星商户,125
小吃快餐,星济七道面(百草路店),朝阳区,朝阳区,20,四星商户,7
小吃快餐,九份芋金香(台湾美食),朝阳区,朝阳区,18,四星商户,5
小吃快餐,黄太吉,朝阳区,桂林路,21,四星商户,52
小吃快餐,本粥&拌饭cafe(欧亚新生活购物广...,朝阳区,朝阳区,29,准四星商户,12
小吃快餐,椒焱涮串啤酒餐厅(修正路店),朝阳区,朝阳区,53,准四星商户,236
小吃快餐,真美韩式炸酱面,朝阳区,红旗街,16,准四星商户,458
小吃快餐,李先生牛肉面(金碧餐厅),朝阳区,红旗街,24,准四星商户,430
小吃快餐,老韩头清真食品(欧亚卖场店),朝阳区,欧亚卖场,31,准四星商户,99
小吃快餐,麻辣哈哈(欧亚卖场店),朝阳区,红旗街,27,准四星商户,198
小吃快餐,台湾大鸡排(中东七彩城店),朝阳区,南湖公园,14,准四星商户,24
小吃快餐,天天串烧烤(永昌胡同店),朝阳区,永昌,28,准四星商户,5
小吃快餐,辣小鸭(安达街店),朝阳区,朝阳区,20,准四星商户,8
小吃快餐,辣小鸭(义和路店),朝阳区,朝阳区,20,准四星商户,2
小吃快餐,摇滚三国麻辣e站,朝阳区,南湖公园,52,准四星商户,62
小吃快餐,盛宝粥铺(建设街店),朝阳区,建设街,22,准四星商户,223
小吃快餐,熊猫生煎(欢乐城店),朝阳区,朝阳区,17,准四星商户,30
小吃快餐,渝人宴遇码头麻辣龙虾店,朝阳区,建设街,85,准四星商户,89
小吃快餐,郑将军台湾香锅焖面(桂林路店),朝阳区,桂林路,20,准四星商户,3
小吃快餐,王世花笙牛肉面,朝阳区,红旗街,19,准四星商户,67
小吃快餐,面对面(同志街店),朝阳区,桂林路,21,准四星商户,665
小吃快餐,东方饺子王(欧亚卖场开运街店),朝阳区,欧亚卖场,39,准四星商户,390
小吃快餐,汤加汤,朝阳区,桂林路,17,准四星商户,51
小吃快餐,小蜜蜂面饭馆(桂林路店),朝阳区,桂林路,19,准四星商户,561
小吃快餐,满仓春饼,朝阳区,朝阳区,43,准四星商户,21
小吃快餐,齐卤把子肉,朝阳区,朝阳区,22,准四星商户,5
小吃快餐,铁道邦子烤牛肉(锦水路店),朝阳区,文化广场,38,准四星商户,6
小吃快餐,鹤记生煎(桂林路店),朝阳区,桂林路,16,准四星商户,440
小吃快餐,八样馅大蒸饺熏酱菜,朝阳区,红旗街,27,准四星商户,14
小吃快餐,淮南牛肉汤,朝阳区,朝阳区,13,准四星商户,25
小吃快餐,第1佳大鸡排,朝阳区,桂林路,14,准四星商户,25
小吃快餐,孙志鹏麻辣烫(高新区店),朝阳区,朝阳区,10,准四星商户,7
小吃快餐,周师傅特色豆腐串,朝阳区,桂林路,10,准四星商户,14
小吃快餐,儒子牛杂(桂林路店),朝阳区,桂林路,16,准四星商户,53
小吃快餐,张亮麻辣烫(义和路店),朝阳区,永昌,11,准四星商户,10
小吃快餐,成都冒菜,朝阳区,永昌,13,准四星商户,12
小吃快餐,小麦穗妈妈菜手擀面,朝阳区,桂林路,22,准四星商户,5
小吃快餐,台湾卤肉饭,朝阳区,朝阳区,16,准四星商户,4
小吃快餐,绝味鸭脖(朝阳桥店),朝阳区,朝阳桥,18,准四星商户,88
小吃快餐,吉祥馄饨(新文化报店),朝阳区,南湖公园,17,准四星商户,4
小吃快餐,阿满馋吧麻辣鸭货(桂林路旗舰店),朝阳区,桂林路,20,准四星商户,104
小吃快餐,万汇美食,朝阳区,欧亚卖场,16,准四星商户,22
小吃快餐,吨妹子重庆小面,朝阳区,桂林路,17,准四星商户,9
小吃快餐,美国加州牛肉面大王(卫明街店),朝阳区,南湖公园,15,准四星商户,3
小吃快餐,老韩头清真食品(永昌店),朝阳区,永昌,25,准四星商户,45
小吃快餐,辣怪鸭(红旗街店),朝阳区,朝阳区,19,准四星商户,6
小吃快餐,辣小鸭(红旗街万达店),朝阳区,红旗街,21,准四星商户,54
小吃快餐,中东美食,朝阳区,桂林路,16,准四星商户,57
小吃快餐,我的麻鸭,朝阳区,建设街,15,准四星商户,17
小吃快餐,卷翻天卷饼王(桂林路店),朝阳区,朝阳区,28,准四星商户,47
小吃快餐,线人鸳鸯米线,朝阳区,桂林路,31,准四星商户,125
小吃快餐,麦当劳(同志街店),朝阳区,桂林路,23,准四星商户,121
小吃快餐,粉丝员螺蛳粉(总店),朝阳区,红旗街,17,准四星商户,108
小吃快餐,赛百味(隆礼路店),朝阳区,桂林路,24,准四星商户,179
小吃快餐,煎饼客(红旗街店),朝阳区,湖西路,18,准四星商户,6
小吃快餐,西安风味腊汁肉夹馍,朝阳区,桂林路,23,准四星商户,24
小吃快餐,尚我佳永和豆浆(自由大路店),朝阳区,朝阳区,29,准四星商户,63
小吃快餐,釜山美食韩国炸酱面(佳园路店),朝阳区,朝阳区,38,准四星商户,36
小吃快餐,麦当劳(欧亚卖场店),朝阳区,欧亚卖场,31,准四星商户,61
小吃快餐,和米堂(红旗街万达广场店),朝阳区,红旗街,15,准四星商户,93
小吃快餐,华莱士(朝阳桥餐厅),朝阳区,建设街,11,准四星商户,63
小吃快餐,麦田家手工面条(湖西路店),朝阳区,南湖公园,22,准四星商户,61
小吃快餐,乐姐姐牛肉汤饭(文化广场店),朝阳区,文化广场,24,准四星商户,27
小吃快餐,禾谷渔粉(活力城店),朝阳区,朝阳区,11,准四星商户,31
小吃快餐,名扬烤肉面片,朝阳区,朝阳区,30,准四星商户,6
小吃快餐,张亮麻辣烫(百脑汇店),朝阳区,红旗街,11,准四星商户,20
小吃快餐,枫林砂锅麻辣烫,朝阳区,欧亚卖场,10,准四星商户,19
小吃快餐,井记港式快餐店,朝阳区,红旗街,20,准四星商户,19
小吃快餐,明阳春秘制排骨米饭(世光路店),朝阳区,朝阳区,20,准四星商户,3
小吃快餐,老王太太过桥米线,朝阳区,朝阳区,11,准四星商户,10
小吃快餐,聚丰源灌汤包(湖西路店),朝阳区,湖西路,17,准四星商户,14
小吃快餐,泰和轩·臭榴芒,朝阳区,桂林路,10,准四星商户,31
小吃快餐,面对面(安达街),朝阳区,建设街,23,准四星商户,96
小吃快餐,杨记烤肉面片馆(丰顺街店),朝阳区,永昌,37,准四星商户,22
小吃快餐,辣小鸭(巴黎春天店),朝阳区,红旗街,14,准四星商户,76
小吃快餐,旱火金牌卤肉饭,朝阳区,朝阳区,10,准四星商户,11
小吃快餐,嘉州飘香麻辣涮串(长庆街店),朝阳区,朝阳区,49,准四星商户,35
小吃快餐,天意烤牛肉,朝阳区,永昌,34,准四星商户,47
小吃快餐,小伍羊单县羊汤,朝阳区,朝阳区,27,准四星商户,5
小吃快餐,项嘟嘟霸王面馆,朝阳区,朝阳区,20,准四星商户,12
小吃快餐,中国兰州拉面,朝阳区,红旗街,12,准四星商户,9
小吃快餐,米村拌饭馆(同光路店),朝阳区,永昌,26,准四星商户,12
小吃快餐,吉妈妈手擀面(一汽高专店),朝阳区,朝阳区,15,准四星商户,3
小吃快餐,鸭子泰茫烤鸭饭,朝阳区,朝阳区,16,准四星商户,1
小吃快餐,儒子牛时尚餐吧,朝阳区,欧亚卖场,17,准四星商户,113
小吃快餐,煎饼果子手抓饼烤冷面,朝阳区,红旗街,5,准四星商户,12
小吃快餐,张亮麻辣烫(红旗街店),朝阳区,红旗街,11,准四星商户,6
小吃快餐,孺子牛杂(欧亚卖场店),朝阳区,朝阳区,16,准四星商户,21
小吃快餐,五谷渔粉,朝阳区,红旗街,12,准四星商户,11
小吃快餐,漫步45°餐厅,朝阳区,桂林路,13,准四星商户,25
小吃快餐,肯德基(同德店),朝阳区,红旗街,31,准四星商户,23
小吃快餐,华莱士(湖西路店),朝阳区,湖西路,16,准四星商户,32
小吃快餐,华莱士(安达街店),朝阳区,朝阳区,13,准四星商户,6
小吃快餐,温度90面饭,朝阳区,朝阳区,16,准四星商户,6
小吃快餐,辣小鸭(湖西路店),朝阳区,湖西路,30,准四星商户,66
小吃快餐,魔法鸡排(重庆路万达店),朝阳区,红旗街,15,准四星商户,5
小吃快餐,東堂瓦罐煨汤,朝阳区,红旗街,27,准四星商户,26
小吃快餐,麻辣哈哈(欧亚商都店),朝阳区,红旗街,20,准四星商户,15
小吃快餐,那记猪手,朝阳区,建设街,34,准四星商户,7
小吃快餐,乔当家脆皮火烧,朝阳区,红旗街,11,准四星商户,98
小吃快餐,八珍王(恒客隆店),朝阳区,桂林路,30,准四星商户,1
小吃快餐,粉好吃正宗金沙羊肉米粉,朝阳区,红旗街,12,准四星商户,24
小吃快餐,味权烤鹅(红旗街店),朝阳区,朝阳区,15,准四星商户,1
小吃快餐,麦上包子(同志街店),朝阳区,桂林路,11,准四星商户,9
小吃快餐,老麻抄手,朝阳区,建设街,21,准四星商户,10
小吃快餐,辣怪鸭(桂林路店),朝阳区,桂林路,17,准四星商户,103
小吃快餐,老韩头清真食品(恒客隆桂林路店),朝阳区,桂林路,24,准四星商户,62
小吃快餐,味觉杂酱酸辣粉,朝阳区,南湖公园,10,准四星商户,5
小吃快餐,麻辣哈哈(修正路店),朝阳区,朝阳区,21,准四星商户,1
小吃快餐,辣小鸭(西朝阳店),朝阳区,朝阳桥,20,准四星商户,34
小吃快餐,麻辣哈哈(新华店),朝阳区,红旗街,18,准四星商户,118
小吃快餐,辣怪鸭(工农大路店),朝阳区,红旗街,16,准四星商户,91
小吃快餐,张亮麻辣烫(食间隧道店),朝阳区,朝阳区,11,准四星商户,1
小吃快餐,绝味鸭脖(欧亚卖场一店),朝阳区,欧亚卖场,21,准四星商户,75
小吃快餐,龙须糖,朝阳区,湖西路,10,准四星商户,7
小吃快餐,上上丫鸭脖王(同志街店),朝阳区,桂林路,27,准四星商户,21
小吃快餐,绝味鸭脖(抚松路店),朝阳区,红旗街,23,准四星商户,72
小吃快餐,绝味鸭脖(永昌店),朝阳区,永昌,22,准四星商户,52
小吃快餐,姣宝宝黑鸭,朝阳区,建设街,20,准四星商户,43
小吃快餐,阿满馋吧麻辣鸭货(繁荣市场店),朝阳区,辉南街,18,准四星商户,43
小吃快餐,吉盛和国人快餐,朝阳区,朝阳区,12,准四星商户,45
小吃快餐,辣小鸭(海天店),朝阳区,朝阳桥,23,准四星商户,42
小吃快餐,面掌柜,朝阳区,朝阳区,25,准四星商户,2
小吃快餐,湾仔烤肉便当(和光路店),朝阳区,红旗街,12,准四星商户,14
小吃快餐,辣怪鸭(汉口大街店),朝阳区,南湖公园,17,准四星商户,24
小吃快餐,麻辣吃货国贸店,朝阳区,朝阳区,15,准四星商户,4
小吃快餐,娟子饼屋,朝阳区,湖西路,10,准四星商户,3
小吃快餐,绝味鸭脖(集安路店),朝阳区,红旗街,21,准四星商户,33
小吃快餐,好朋友秦见面(欧亚新生活店),朝阳区,朝阳区,32,准四星商户,17
小吃快餐,万民螺蛳粉店,朝阳区,桂林路,10,准四星商户,16
小吃快餐,铁锅焖面,朝阳区,红旗街,30,准四星商户,75
小吃快餐,一番拉面,朝阳区,桂林路,34,准四星商户,46
小吃快餐,大客车串店(湖光路店),朝阳区,南湖公园,39,准四星商户,103
小吃快餐,老昌春饼(红旗万达店),朝阳区,红旗街,48,准四星商户,1247
小吃快餐,栩笙记上海本帮面,朝阳区,文化广场,41,准四星商户,144
小吃快餐,熊猫生煎(桂林路店),朝阳区,桂林路,22,准四星商户,48
小吃快餐,麦当劳(自由大路店),朝阳区,桂林路,24,准四星商户,65
小吃快餐,煨香居养生瓦罐(活力城店),朝阳区,朝阳区,19,准四星商户,34
小吃快餐,肯德基(前进店),朝阳区,桂林路,36,准四星商户,24
小吃快餐,面对面(红旗街店),朝阳区,红旗街,23,准四星商户,206
小吃快餐,曹香居(桂林路店),朝阳区,桂林路,20,准四星商户,160
小吃快餐,喜家德水饺,朝阳区,红旗街,27,准四星商户,17
小吃快餐,煎饼客(桂林路店),朝阳区,桂林路,19,准四星商户,11
小吃快餐,广东烧味(卓展购物中心店),朝阳区,朝阳区,30,准四星商户,7
小吃快餐,喜家德水饺(吉大一院店),朝阳区,永昌,33,准四星商户,32
小吃快餐,喜家德水饺(开运街店),朝阳区,欧亚卖场,35,准四星商户,48
小吃快餐,喜家德水饺(长庆店),朝阳区,桂林路,33,准四星商户,56
小吃快餐,东方饺子王(欧亚商都红旗街店),朝阳区,红旗街,29,准四星商户,267
小吃快餐,川锦汇麻辣拌,朝阳区,红旗街,13,准四星商户,32
小吃快餐,庆丰包子铺(欧亚商都店),朝阳区,红旗街,16,准四星商户,63
小吃快餐,褡裢火烧,朝阳区,湖西路,38,准四星商户,5
小吃快餐,华莱士(抚松店),朝阳区,辉南街,13,准四星商户,47
小吃快餐,海华鱿鱼蒸饺,朝阳区,建设街,25,准四星商户,29
小吃快餐,小张果老驴肉老店,朝阳区,湖西路,61,准四星商户,52
小吃快餐,味之王鸡公煲(红旗街店),朝阳区,红旗街,30,准四星商户,21
小吃快餐,春城杜老鲜麻辣烫(宽平大路店),朝阳区,红旗街,8,准四星商户,49
小吃快餐,疯狂抄手,朝阳区,桂林路,14,准四星商户,57
小吃快餐,阿芳鸡汤米线,朝阳区,朝阳区,18,准四星商户,9
小吃快餐,正大炸鸡(欧亚卖场店),朝阳区,欧亚卖场,10,准四星商户,10
小吃快餐,婆忒哣土豆粉,朝阳区,欧亚卖场,20,准四星商户,6
小吃快餐,五谷渔粉,朝阳区,朝阳区,12,准四星商户,13
小吃快餐,黔通牛肉粉,朝阳区,桂林路,15,准四星商户,12
小吃快餐,川天椒麻辣烫(桂林路胡同店),朝阳区,桂林路,11,准四星商户,11
小吃快餐,小九九山西传统刀削面,朝阳区,永昌,15,准四星商户,14
小吃快餐,吉妈妈手擀面(湖光路店),朝阳区,南湖公园,15,准四星商户,12
小吃快餐,谷乙弘麻辣拌,朝阳区,红旗街,18,准四星商户,22
小吃快餐,好兄弟土豆粉久久鸭,朝阳区,朝阳区,12,准四星商户,15
小吃快餐,台湾第一佳大鸡排(巴黎春天百货...,朝阳区,红旗街,20,准四星商户,65
小吃快餐,川锦汇自选麻辣拌(物贸店),朝阳区,南湖公园,14,准四星商户,10
小吃快餐,三缘水饺,朝阳区,朝阳区,12,准四星商户,26
小吃快餐,吉妈妈手擀面(物贸店),朝阳区,南湖公园,15,准四星商户,5
小吃快餐,老城街小面,朝阳区,桂林路,15,准四星商户,21
小吃快餐,阿满馋吧麻辣鸭货(欧亚商都店),朝阳区,红旗街,22,准四星商户,63
小吃快餐,台湾市集(欧亚卖场店),朝阳区,欧亚卖场,13,准四星商户,212
小吃快餐,麻辣哥俩麻辣烫,朝阳区,桂林路,9,准四星商户,13
小吃快餐,东方春饼王,朝阳区,红旗街,20,准四星商户,18
小吃快餐,町上寿司,朝阳区,红旗街,18,准四星商户,13
小吃快餐,张亮麻辣烫,朝阳区,建设街,12,准四星商户,11
小吃快餐,吉妈妈手擀面(自由胡同店),朝阳区,桂林路,15,准四星商户,12
小吃快餐,清华路馄炖侠,朝阳区,朝阳区,15,准四星商户,8
小吃快餐,云朵快餐,朝阳区,桂林路,13,准四星商户,8
小吃快餐,又见面私房老汤面馆,朝阳区,朝阳区,18,准四星商户,39
小吃快餐,乐客韩式炸鸡,朝阳区,朝阳区,32,准四星商户,31
小吃快餐,香颂汉堡店,朝阳区,建设街,10,准四星商户,7
小吃快餐,阿满食品(旗舰店),朝阳区,桂林路,27,准四星商户,33
小吃快餐,老韩头清真食品(林园店),朝阳区,南湖公园,19,准四星商户,22
小吃快餐,辣怪鸭(开运街店),朝阳区,朝阳区,15,准四星商户,33
小吃快餐,麻辣哈哈(南二店),朝阳区,朝阳区,20,准四星商户,20
小吃快餐,功夫自选麻辣烫,朝阳区,建设街,14,准四星商户,13
小吃快餐,川渝杂酱酸辣苕粉,朝阳区,朝阳区,10,准四星商户,7
小吃快餐,辣怪鸭(恒大名都店),朝阳区,朝阳区,19,准四星商户,3
小吃快餐,手工水饺馄饨,朝阳区,朝阳区,10,准四星商户,3
小吃快餐,上上丫鸭脖王(湖西路店),朝阳区,朝阳区,19,准四星商户,9
小吃快餐,袁叔花甲,朝阳区,湖西路,15,准四星商户,21
小吃快餐,腊汁肉夹馍,朝阳区,朝阳区,29,准四星商户,4
小吃快餐,麦饭郎排骨米饭(西朝阳路店),朝阳区,建设街,16,准四星商户,5
小吃快餐,珍味阁牛杂面,朝阳区,建设街,11,准四星商户,8
小吃快餐,兰州正宗牛肉拉面(西朝阳路店),朝阳区,建设街,13,准四星商户,6
小吃快餐,辣怪鸭(昌平街店),朝阳区,建设街,21,准四星商户,66
小吃快餐,上上丫鸭脖王(立信街店),朝阳区,桂林路,19,准四星商户,33
小吃快餐,鸿晟源面馆,朝阳区,朝阳区,11,准四星商户,6
小吃快餐,麦香客手工面条水饺(欧亚卖场店),朝阳区,欧亚卖场,20,准四星商户,5
小吃快餐,阿旺福土豆粉,朝阳区,永昌,10,准四星商户,8
小吃快餐,老韩头清真食品(巴黎春天百货店),朝阳区,红旗街,19,准四星商户,27
小吃快餐,蜀香面馆,朝阳区,永昌,10,准四星商户,9
小吃快餐,阿满食品(红旗小学专柜),朝阳区,红旗街,24,准四星商户,5
小吃快餐,擀面账手工面条(欧亚卖场店),朝阳区,朝阳区,30,准四星商户,5
小吃快餐,许小树(欧亚新生活店),朝阳区,朝阳区,37,准四星商户,97
小吃快餐,青豆轻食早晚餐,朝阳区,朝阳区,28,准四星商户,27
小吃快餐,荀记肉夹馍,朝阳区,欧亚卖场,21,准四星商户,24
小吃快餐,酷牛汤饭馆(佳园路店),朝阳区,朝阳区,29,准四星商户,33
小吃快餐,乐姐姐牛肉汤饭(桂林路店),朝阳区,桂林路,21,准四星商户,26
小吃快餐,延边梨花汤饭,朝阳区,桂林路,32,准四星商户,27
小吃快餐,外婆印象·烤鸭春饼店,朝阳区,永昌,56,准四星商户,53
小吃快餐,柏记水饺(建设街店),朝阳区,建设街,20,准四星商户,11
小吃快餐,桂林路美食街,朝阳区,桂林路,23,准四星商户,14
小吃快餐,李先生,朝阳区,红旗街,21,准四星商户,10
小吃快餐,饭米粒(西安胡同店),朝阳区,朝阳区,36,准四星商户,15
小吃快餐,盖满川,朝阳区,建设街,45,准四星商户,26
小吃快餐,儒子牛杂(欢乐城店),朝阳区,南湖公园,15,准四星商户,34
小吃快餐,东方饺子王(西康路店),朝阳区,桂林路,27,准四星商户,348
小吃快餐,盖满川麻辣涮串,朝阳区,欧亚卖场,36,准四星商户,8
小吃快餐,功夫牛士汤饭馆(吉大南校店),朝阳区,南湖公园,23,准四星商户,38
小吃快餐,戴氏山西面馆,朝阳区,桂林路,34,准四星商户,230
小吃快餐,老妈手擀面(长庆街店),朝阳区,桂林路,27,准四星商户,505
小吃快餐,李老二炒粉,朝阳区,桂林路,5,准四星商户,192
小吃快餐,好粥道(湖西路店),朝阳区,南湖公园,18,准四星商户,19
小吃快餐,老饭盒长春旗舰店,朝阳区,朝阳区,18,准四星商户,10
小吃快餐,麦当劳(富锦路店),朝阳区,建设街,23,准四星商户,66
小吃快餐,无味欢乐餐厅,朝阳区,南湖公园,56,准四星商户,29
小吃快餐,柏记水饺(红旗街店),朝阳区,红旗街,20,准四星商户,11
小吃快餐,湘辣女鱼粉,朝阳区,桂林路,10,准四星商户,27
小吃快餐,小九九老面馆,朝阳区,朝阳区,15,准四星商户,12
小吃快餐,好粥道,朝阳区,欧亚卖场,42,准四星商户,48
小吃快餐,友面道,朝阳区,红旗街,25,准四星商户,28
小吃快餐,每顿帝王花甲,朝阳区,桂林路,16,准四星商户,19
小吃快餐,延牛汤馆,朝阳区,文化广场,30,准四星商户,6
小吃快餐,一年八班手工面熏酱馆(建设街店),朝阳区,建设街,18,准四星商户,15
小吃快餐,金喜顺紫菜包饭,朝阳区,红旗街,11,准四星商户,35
小吃快餐,老昌食品(欧亚店),朝阳区,欧亚卖场,28,准四星商户,38
小吃快餐,韩国核桃果子(长春总店),朝阳区,朝阳区,10,准四星商户,33
小吃快餐,李先生牛肉面(吉大一院店),朝阳区,朝阳区,21,准四星商户,7
小吃快餐,阿满馋吧桂林专卖店,朝阳区,桂林路,25,准四星商户,1
小吃快餐,李先生美国加州牛肉面大王(欧亚...,朝阳区,欧亚卖场,18,准四星商户,41
小吃快餐,椒兄妹麻辣烫,朝阳区,红旗街,13,准四星商户,19
小吃快餐,红孩儿泥锅麻辣涮串,朝阳区,南湖公园,20,准四星商户,15
小吃快餐,千义便当,朝阳区,永昌,13,准四星商户,7
小吃快餐,李先生牛肉面(桦甸街店),朝阳区,南湖公园,20,准四星商户,3
小吃快餐,米粒香便当,朝阳区,永昌,10,准四星商户,11
小吃快餐,阿满食品(桂林路旗舰店),朝阳区,桂林路,24,准四星商户,6
小吃快餐,喜知滋饺子(安达街店),朝阳区,建设街,25,准四星商户,52
小吃快餐,张亮麻辣烫,朝阳区,桂林路,12,准四星商户,22
小吃快餐,吉妈妈手擀面(红旗街店),朝阳区,红旗街,20,准四星商户,28
小吃快餐,四元拉面,朝阳区,建设街,6,准四星商户,30
小吃快餐,老张记手擀面家常菜(繁荣路店),朝阳区,南湖公园,39,准四星商户,34
小吃快餐,麦乐炸鸡,朝阳区,桂林路,6,准四星商户,24
小吃快餐,美一佳大鸡排,朝阳区,朝阳区,10,准四星商户,5
小吃快餐,米娃娃小锅米线,朝阳区,红旗街,34,准四星商户,11
小吃快餐,天下共享炸串坊(五十六分店),朝阳区,朝阳区,10,准四星商户,3
小吃快餐,饭桶家,朝阳区,朝阳区,13,准四星商户,19
小吃快餐,大碗牛肉面(腾飞时代),朝阳区,朝阳区,29,准四星商户,4
小吃快餐,川天椒麻辣烫(同德路店),朝阳区,红旗街,11,准四星商户,8
小吃快餐,四川一家人担担面,朝阳区,红旗街,10,准四星商户,18
小吃快餐,重庆鸡公煲土豆粉久久鸭,朝阳区,桂林路,12,准四星商户,7
小吃快餐,老韩头清真食品(桂林店),朝阳区,桂林路,17,准四星商户,34
小吃快餐,热带小猴,朝阳区,红旗街,50,准四星商户,3
小吃快餐,黄焖鸡米饭(欧亚卖场),朝阳区,欧亚卖场,19,准四星商户,8
小吃快餐,重庆万州小面,朝阳区,红旗街,15,准四星商户,26
小吃快餐,香旺招牌饭(欧亚卖场店),朝阳区,欧亚卖场,13,准四星商户,20
小吃快餐,麻辣哈哈(四店),朝阳区,红旗街,18,准四星商户,65
小吃快餐,吉妈妈手擀面(清华胡同店),朝阳区,桂林路,13,准四星商户,16
小吃快餐,彪记牛肉面(安达街店),朝阳区,朝阳区,16,准四星商户,10
小吃快餐,许黑鸭(桂林胡同店),朝阳区,桂林路,20,准四星商户,42
小吃快餐,町上寿司,朝阳区,红旗街,12,准四星商户,26
小吃快餐,开麦啦时尚面吧,朝阳区,朝阳区,34,准四星商户,28
小吃快餐,八仙小饭馆,朝阳区,朝阳区,25,准四星商户,4
小吃快餐,美国加州牛肉面大王(西朝阳路店),朝阳区,建设街,17,准四星商户,8
小吃快餐,韩食小厨,朝阳区,红旗街,25,准四星商户,6
小吃快餐,麻辣哈哈(集安路店),朝阳区,朝阳区,20,准四星商户,42
小吃快餐,麻辣哈哈(巴黎春天店),朝阳区,红旗街,18,准四星商户,27
小吃快餐,云南过桥米线(同志街店),朝阳区,桂林路,13,准四星商户,14
小吃快餐,麻辣鸭货,朝阳区,红旗街,10,准四星商户,10
小吃快餐,吉祥馄饨(百脑汇店),朝阳区,红旗街,15,准四星商户,3
小吃快餐,辣怪鸭(西朝阳路店),朝阳区,朝阳区,18,准四星商户,8
小吃快餐,辣小鸭(前进大街店),朝阳区,南湖公园,21,准四星商户,9
小吃快餐,绝味鸭脖(红旗街万达店),朝阳区,红旗街,21,准四星商户,80
小吃快餐,爱游文化主题餐厅,朝阳区,南湖公园,63,准四星商户,28
小吃快餐,老字号川天椒麻辣烫(红旗街大棚...,朝阳区,红旗街,12,准四星商户,8
小吃快餐,幺妹重庆小面,朝阳区,朝阳区,12,准四星商户,9
小吃快餐,老昌食品(祥和分店),朝阳区,湖西路,30,准四星商户,3
